id,sku,name,description,base_price,is_active,created_at,updated_at
"1","WK936HUL","Small Cotton Salad","The sleek and sniveling Keyboard comes with ivory LED lighting for smart functionality","1705.59","true","2017-01-15 07:23:23","2020-01-15 00:00:11"
"2","JPFX2KL0","Small Aluminum Chips","The Benjamin Sausages is the latest in a series of good products from Tromp LLC","389.79","true","2018-08-18 00:44:50","2019-07-12 12:06:09"
"3","EIGLRW8F","Luxurious Metal Hat","New orange Shoes with ergonomic design for monstrous comfort","1679.69","true","2018-06-11 22:03:59","2019-12-23 05:56:45"
"4","ZDWP35M1","Rustic Granite Gloves","Discover the penguin-like agility of our Bacon, perfect for aware users","636.19","true","2020-01-05 02:08:36","2025-02-07 19:28:26"
"5","DHFWT9Q2","Sleek Granite Gloves","Discover the polar bear-like agility of our Pizza, perfect for runny users","1985.17","true","2024-08-19 14:36:57","2025-05-09 02:41:32"
"6","DP908HLO","Ergonomic Metal Bike","New sky blue Soap with ergonomic design for mean comfort","1286.29","true","2015-11-29 22:43:40","2020-03-17 10:32:15"
"7","8P8C55UY","Rustic Metal Fish","Stylish Computer designed to make you stand out with scary looks","1228.35","true","2025-06-26 19:03:05","2025-09-06 19:43:45"
"8","JGCDG5Y2","Refined Rubber Hat","Experience the orchid brilliance of our Sausages, perfect for petty environments","1546.65","true","2023-11-02 15:10:22","2024-05-10 21:13:11"
"9","QSHF600I","Generic Plastic Chair","Ergonomic Computer made with Cotton for all-day awful support","1234.09","true","2021-05-29 02:12:13","2023-09-11 05:35:55"
"10","P7OOYBP3","Licensed Aluminum Pants","Stylish Mouse designed to make you stand out with sudden looks","722.16","true","2018-01-04 03:10:45","2020-06-11 18:10:57"
"11","2L7B6JEG","Incredible Metal Sausages","New red Towels with ergonomic design for exalted comfort","246.79","true","2016-03-17 22:37:31","2018-08-18 05:14:27"
"12","RM35ZFZM","Licensed Concrete Ball","Stylish Table designed to make you stand out with vague looks","1507.59","true","2022-12-19 23:49:04","2024-07-05 19:30:44"
"13","FV268Y0L","Generic Metal Mouse","Discover the waterlogged new Computer with an exciting mix of Aluminum ingredients","1765.65","true","2024-11-12 19:45:19","2025-05-11 11:01:38"
"14","PBJHHPKD","Luxurious Wooden Fish","The Upgradable responsive synergy Keyboard offers reliable performance and neglected design","523.69","true","2016-05-07 17:56:35","2022-01-31 15:47:25"
"15","JGNP8QIP","Unbranded Cotton Pizza","Introducing the Uruguay-inspired Gloves, blending rare style with local craftsmanship","729.2","true","2018-12-29 10:01:17","2025-01-11 00:05:25"
"16","9WCI6DAE","Electronic Ceramic Keyboard","The sleek and tepid Hat comes with teal LED lighting for smart functionality","1171.19","false","2025-10-07 10:23:39","2025-10-08 10:00:01"
"17","IIQ762OD","Luxurious Marble Hat","Featuring Silver-enhanced technology, our Soap offers unparalleled fruitful performance","1043.3","true","2025-08-17 13:21:43","2025-09-18 19:54:44"
"18","TG5WNU32","Refined Bronze Tuna","Professional-grade Bike perfect for elderly training and recreational use","406.39","true","2023-08-27 07:57:43","2025-09-30 12:03:18"
"19","8XQCYKI4","Small Bronze Keyboard","The purple Chicken combines Nauru aesthetics with Nickel-based durability","229.09","false","2019-04-13 10:07:53","2019-04-29 22:58:15"
"20","5DX5SVH7","Bespoke Cotton Table","Innovative Shoes featuring firm technology and Bamboo construction","845.49","true","2020-12-29 20:28:26","2023-06-20 02:53:44"
"21","H4IDVSET","Handcrafted Bronze Shoes","The Reduced resilient ability Fish offers reliable performance and internal design","1765.95","true","2023-11-17 13:17:46","2024-10-31 07:04:04"
"22","LHUER6LK","Oriental Plastic Shoes","The Devolved methodical data-warehouse Sausages offers reliable performance and edible design","1709.39","true","2018-01-25 13:28:29","2018-02-27 15:32:02"
"23","PGXI2Q0T","Gorgeous Bronze Gloves","Skiles and Sons's most advanced Fish technology increases whirlwind capabilities","1952.82","true","2025-05-02 14:29:24","2025-08-19 02:25:11"
"24","2KGLX2AC","Recycled Rubber Table","The Marlen Towels is the latest in a series of simple products from Gerhold - Bosco","319.15","true","2023-01-05 02:25:39","2025-04-19 04:53:35"
"25","Q6TKHU5L","Practical Ceramic Towels","Innovative Car featuring cute technology and Granite construction","1611.5","true","2019-08-07 06:22:15","2024-02-15 08:37:53"
"26","LAI128PU","Recycled Aluminum Shirt","Savor the bitter essence in our Soap, designed for unknown culinary adventures","1970.4","true","2019-06-30 19:07:36","2022-08-28 02:24:36"
"27","33VJ19Y2","Generic Silk Cheese","The Clyde Keyboard is the latest in a series of pessimistic products from Sporer Group","283.35","true","2023-09-05 01:37:08","2025-01-27 16:14:10"
"28","L4TZISEP","Soft Cotton Table","The red Salad combines Kazakhstan aesthetics with Bromine-based durability","1096.99","true","2018-01-12 05:53:08","2022-12-22 23:07:01"
"29","53STZ2RI","Rustic Metal Bacon","Introducing the Finland-inspired Pants, blending troubled style with local craftsmanship","582.85","true","2020-04-10 02:51:38","2025-03-01 12:56:19"
"30","OTGLLA2J","Unbranded Wooden Pizza","The lime Pants combines Libyan Arab Jamahiriya aesthetics with Bismuth-based durability","1366.84","true","2016-09-09 20:47:46","2021-05-14 00:48:52"
"31","6HBNXVW2","Bespoke Aluminum Chicken","Our bitter-inspired Cheese brings a taste of luxury to your hidden lifestyle","703.25","true","2021-07-17 11:37:44","2023-05-02 22:19:27"
"32","EG8S8TSG","Intelligent Metal Pants","New Shirt model with 46 GB RAM, 591 GB storage, and finished features","91.1","false","2024-07-05 05:44:54","2025-07-08 19:57:34"
"33","J9P61V8N","Oriental Aluminum Chair","Oriental Keyboard designed with Metal for hateful performance","1642.79","true","2019-01-09 15:51:13","2022-07-12 21:06:18"
"34","2HD9MSCF","Handcrafted Plastic Shirt","Innovative Cheese featuring quick-witted technology and Cotton construction","903.45","true","2019-05-16 23:42:03","2020-06-22 11:22:28"
"35","1NIRLU6Q","Sleek Granite Ball","The Ezekiel Chicken is the latest in a series of considerate products from Wunsch - Ondricka","1598.89","true","2020-06-25 18:55:31","2023-03-27 19:24:42"
"36","BLXYOVCE","Practical Metal Mouse","New Mouse model with 90 GB RAM, 773 GB storage, and vague features","414.65","true","2017-12-30 10:03:06","2021-06-15 17:24:15"
"37","8IVGKXZW","Elegant Wooden Towels","Grant, Lesch and Lubowitz's most advanced Keyboard technology increases miserly capabilities","939.79","true","2020-12-04 05:53:05","2024-08-02 06:12:53"
"38","IR5SPOA9","Rustic Marble Soap","Professional-grade Fish perfect for dutiful training and recreational use","1777.49","true","2021-07-21 06:36:56","2023-01-26 05:10:06"
"39","50N8FIUZ","Ergonomic Aluminum Hat","Our rich-inspired Keyboard brings a taste of luxury to your yummy lifestyle","1465.89","true","2025-06-05 05:40:17","2025-10-03 02:53:19"
"40","827R6I86","Handmade Ceramic Ball","Introducing the Tokelau-inspired Towels, blending sparkling style with local craftsmanship","173.15","true","2021-11-27 06:30:47","2023-09-09 22:21:21"
"41","QEMSJZJF","Handcrafted Wooden Bike","Our smoky-inspired Shoes brings a taste of luxury to your inconsequential lifestyle","84.19","true","2021-11-22 19:01:16","2024-07-08 00:34:31"
"42","OSE3UELO","Practical Wooden Chair","Introducing the Virgin Islands, British-inspired Tuna, blending outrageous style with local craftsmanship","336.79","true","2024-01-11 09:27:37","2025-05-18 23:16:49"
"43","UVP8JWS0","Bespoke Concrete Car","Introducing the Western Sahara-inspired Bike, blending upright style with local craftsmanship","358.7","false","2024-09-17 08:20:27","2024-10-28 09:01:45"
"44","WIT1K68R","Fantastic Cotton Hat","Savor the sour essence in our Pants, designed for querulous culinary adventures","1103.49","true","2019-05-15 17:35:31","2025-01-14 07:43:10"
"45","YWGC1M5X","Practical Silk Sausages","Our hippopotamus-friendly Chair ensures gigantic comfort for your pets","940.75","true","2018-03-22 06:07:31","2025-04-04 19:08:08"
"46","D7ZII14M","Fantastic Marble Chips","Ergonomic Tuna made with Granite for all-day stingy support","1460.89","true","2022-08-06 17:52:30","2025-03-27 14:28:18"
"47","EGQENVZJ","Gorgeous Ceramic Bacon","Our parrot-friendly Shoes ensures grown comfort for your pets","961.25","false","2018-10-05 01:55:03","2024-04-17 08:05:00"
"48","H1KC8IOU","Licensed Ceramic Fish","Our creamy-inspired Pants brings a taste of luxury to your deficient lifestyle","435.65","false","2018-09-05 21:21:41","2019-07-30 22:14:34"
"49","1HSBHKJF","Intelligent Bronze Salad","New turquoise Shirt with ergonomic design for thick comfort","54.89","true","2025-03-08 23:07:52","2025-08-20 08:52:40"
"50","H88WHFYY","Tasty Bronze Gloves","Our dolphin-friendly Shoes ensures tedious comfort for your pets","1057.69","true","2022-08-08 00:08:48","2023-03-03 13:42:33"
"51","SQJ4HXCG","Frozen Steel Ball","Stylish Ball designed to make you stand out with acclaimed looks","1334.79","true","2022-05-14 01:03:57","2022-10-27 11:38:44"
"52","BIYXFQRM","Electronic Plastic Ball","Featuring Tellurium-enhanced technology, our Pants offers unparalleled squeaky performance","1745.25","false","2024-08-13 20:53:17","2025-06-15 04:38:36"
"53","VG0RU33Q","Sleek Rubber Cheese","Savor the creamy essence in our Mouse, designed for gifted culinary adventures","1827.49","true","2024-02-16 10:39:28","2025-02-01 12:47:44"
"54","2HNMZR3U","Bespoke Cotton Hat","New Shoes model with 30 GB RAM, 882 GB storage, and shocked features","311.09","true","2025-05-11 16:48:37","2025-06-20 10:25:16"
"55","FQHF74ZC","Refined Aluminum Mouse","New yellow Bike with ergonomic design for needy comfort","423.07","true","2023-08-29 19:26:57","2024-01-09 07:15:22"
"56","YZ0EFVU0","Intelligent Wooden Pants","The sleek and profitable Salad comes with plum LED lighting for smart functionality","69","true","2017-12-12 18:10:14","2021-10-31 22:50:34"
"57","HTW6Y9II","Recycled Rubber Cheese","Professional-grade Fish perfect for tiny training and recreational use","1590.29","true","2015-12-13 16:39:41","2023-08-24 04:24:20"
"58","H2L35B2I","Soft Aluminum Sausages","Ergonomic Cheese made with Cotton for all-day mealy support","651.5","true","2023-04-27 06:13:39","2023-12-28 08:44:02"
"59","NV2ZV98C","Luxurious Aluminum Tuna","Savor the smoky essence in our Mouse, designed for glittering culinary adventures","1772.29","true","2022-08-26 11:58:48","2024-11-10 11:02:30"
"60","EVZFE0K6","Incredible Ceramic Fish","Monahan LLC's most advanced Tuna technology increases crowded capabilities","1411.55","false","2022-08-18 03:11:02","2023-06-04 16:37:39"
"61","N4P3OURP","Refined Metal Towels","Experience the violet brilliance of our Bacon, perfect for aggravating environments","142.79","true","2019-08-06 10:11:35","2024-10-23 16:22:52"
"62","W3F9U0F8","Handmade Metal Shoes","Carter Inc's most advanced Car technology increases dramatic capabilities","302.09","true","2018-11-29 18:49:44","2025-02-20 20:25:04"
"63","6TE6DXR5","Soft Silk Gloves","Savor the crunchy essence in our Hat, designed for rural culinary adventures","1753.59","true","2021-04-11 16:56:52","2024-11-05 01:37:42"
"64","AEU2KM7L","Practical Marble Towels","Featuring Indium-enhanced technology, our Bacon offers unparalleled jagged performance","570.39","true","2016-12-20 23:43:38","2022-02-01 07:12:53"
